iter	Passed	Remaining
214	1545	5642
215	1550	5628
216	1556	5615
217	1561	5601
218	1568	5592
219	1573	5578
220	1579	5566
221	1584	5553
222	1590	5541
223	1595	5528
224	1601	5516
225	1607	5503
226	1612	5490
227	1618	5481
228	1624	5469
229	1629	5456
230	1636	5446
231	1642	5437
232	1655	5448
233	1663	5445
234	1670	5436
235	1675	5424
236	1681	5412
237	1686	5399
238	1691	5386
239	1697	5375
240	1702	5362
241	1707	5349
242	1713	5339
243	1719	5326
244	1724	5314
245	1731	5307
246	1736	5294
247	1741	5282
248	1747	5270
249	1752	5258
250	1758	5246
251	1763	5235
252	1769	5223
253	1776	5218
254	1783	5211
255	1790	5202
256	1796	5194
257	1802	5182
258	1808	5173
259	1814	5163
260	1820	5153
261	1826	5144
262	1832	5135
263	1838	5126
264	1845	5117
265	1850	5106
266	1855	5095
267	1861	5083
268	1866	5071
269	1871	5060
270	1876	5048
271	1881	5036
272	1887	5025
273	1892	5014
274	1900	5010
275	1909	5009
276	1915	5000
277	1922	4992
278	1927	4981
279	1933	4971
280	1938	4960
281	1944	4950
282	1949	4938
283	1954	4927
284	1959	4915
285	1964	4904
286	1970	4894
287	1975	4882
288	1980	4872
289	1985	4860
290	1990	4850
291	1995	4839
292	2001	4828
293	2006	4818
294	2012	4810
295	2019	4802
296	2025	4793
297	2031	4784
298	2037	4777
299	2043	4767
300	2050	4762
301	2058	4757
302	2064	4747
303	2070	4740
304	2076	4731
305	2082	4722
306	2087	4712
307	2092	4701
308	2098	4692
309	2103	4682
310	2108	4672
311	2114	4662
312	2119	4652
313	2125	4643
314	2131	4634
315	2136	4625
316	2141	4615
317	2148	4608
318	2156	4604
319	2164	4598
320	2170	4591
321	2175	4581
322	2187	4584
323	2194	4578
324	2200	4569
325	2206	4560
326	2211	4552
327	2217	4543
328	2223	4535
329	2230	4527
330	2237	4521
331	2243	4514
332	2248	4504
333	2254	4495
334	2259	4486
335	2265	4476
336	2270	4466
337	2276	4458
338	2282	4450
339	2291	4449
340	2298	4442
341	2305	4436
342	2311	4427
343	2317	4418
344	2322	4410
345	2328	4400
346	2333	4390
347	2338	4381
348	2343	4371
349	2348	4362
350	2354	4352
351	2359	4343
352	2364	4334
353	2370	4325
354	2375	4316
355	2380	4307
356	2386	4298
357	2391	4288
358	2396	4279
359	2402	4271
360	2409	4264
361	2415	4256
362	2421	4249
363	2427	4242
364	2437	4240
365	2445	4235
366	2452	4229
367	2457	4220
368	2462	4210
369	2467	4201
370	2473	4192
371	2478	4183
372	2483	4175
373	2489	4166
374	2494	4157
375	2499	4148
376	2505	4139
377	2511	4132
378	2517	4124
379	2522	4115
380	2527	4106
381	2533	4098
382	2538	4089
383	2543	4080
384	2552	4077
385	2558	4069
386	2565	4063
387	2570	4054
388	2575	4045
389	2581	4036
390	2586	4028
391	2591	4020
392	2597	4012
393	2603	4004
394	2609	3997
395	2616	3990
396	2621	3982
397	2628	3975
398	2634	3968
399	2639	3959
400	2646	3953
401	2651	3944
402	2657	3936
403	2662	3928
404	2668	3920
405	2675	3914
406	2682	3908
407	2687	3900
408	2695	3894
409	2700	3885
410	2706	3878
411	2711	3869
412	2716	3860
413	2721	3852
414	2727	3844
415	2732	3836
416	2738	3828
417	2743	3819
418	2748	3811
419	2754	3804
420	2759	3795
421	2764	3787
422	2770	3779
423	2776	3771
424	2781	3762
425	2786	3754
426	2791	3745
427	2796	3737
428	2804	3732
429	2812	3727
430	2818	3721
431	2824	3714
432	2831	3707
433	2838	3701
434	2843	3693
435	2848	3684
436	2854	3677
437	2861	3671
438	2867	3664
439	2872	3656
440	2878	3648
441	2883	3640
442	2888	3631
443	2893	3623
444	2898	3615
445	2903	3606
446	2908	3598
447	2913	3590
448	2918	3581
449	2924	3573
450	2929	3565
451	2937	3561
452	2943	3553
453	2949	3546
454	2954	3539
455	2959	3531
456	2965	3523
457	2970	3515
458	2975	3507
459	2980	3499
460	2986	3491
461	2991	3483
462	2996	3475
463	3001	3467
464	3006	3459
465	3013	3452
466	3019	3445
467	3024	3438
468	3031	3431
469	3037	3424
470	3043	3418
471	3050	3411
472	3055	3404
473	3063	3400
474	3070	3393
475	3076	3386
476	3082	3379
477	3088	3372
478	3093	3364
479	3098	3356
480	3103	3348
481	3108	3341
482	3113	3333
483	3118	3325
484	3124	3317
485	3129	3309
486	3134	3302
487	3139	3294
488	3145	3287
489	3150	3279
490	3156	3271
491	3161	3264
492	3166	3256
493	3171	3248
494	3177	3241
495	3182	3233
496	3187	3226
497	3193	3218
498	3198	3211
499	3204	3204
500	3210	3198
501	3217	3191
502	3224	3186
503	3230	3179
504	3236	3172
505	3243	3166
506	3249	3160
507	3256	3153
508	3295	3179
509	3309	3179
510	3336	3193
511	3358	3201
512	3365	3195
513	3372	3188
514	3379	3182
515	3395	3184
516	3403	3179
517	3409	3172
518	3414	3164
519	3419	3156
520	3424	3148
521	3429	3140
522	3434	3132
523	3440	3125
524	3446	3118
525	3452	3111
526	3458	3104
527	3469	3101
528	3475	3094
529	3483	3088
530	3488	3081
531	3493	3073
532	3499	3066
533	3504	3058
534	3509	3050
535	3514	3042
536	3519	3034
537	3525	3027
538	3530	3019
539	3535	3011
540	3540	3003
541	3545	2996
542	3550	2988
543	3555	2980
544	3560	2972
545	3565	2964
546	3570	2957
547	3575	2949
548	3581	2941
549	3586	2934
550	3593	2928
551	3600	2921
552	3606	2915
553	3612	2908
554	3617	2900
555	3622	2892
556	3627	2885
557	3632	2877
558	3638	2870
559	3644	2863
560	3651	2857
561	3657	2850
562	3663	2843
563	3669	2837
564	3676	2830
565	3683	2824
566	3690	2818
567	3695	2810
568	3700	2803
569	3706	2796
570	3711	2788
571	3717	2781
572	3726	2777
573	3733	2770
574	3740	2764
575	3745	2757
576	3751	2750
577	3756	2742
578	3762	2735
579	3768	2728
580	3774	2721
581	3780	2715
582	3789	2710
583	3796	2704
584	3808	2701
585	3814	2695
586	3829	2694
587	3841	2691
588	3849	2686
589	3871	2690
590	3878	2684
591	3887	2678
592	3893	2672
593	3905	2669
594	3911	2662
595	3926	2661
596	3939	2659
597	3949	2654
598	3958	2650
599	3970	2647
600	3979	2642
601	3995	2641
602	4008	2639
603	4019	2635
604	4031	2631
605	4036	2624
606	4048	2621
607	4053	2613
608	4065	2610
609	4071	2603
610	4086	2601
611	4098	2598
612	4106	2592
613	4122	2591
614	4134	2587
615	4147	2585
616	4166	2586
617	4179	2583
618	4190	2579
619	4197	2572
620	4211	2570
621	4220	2565
622	4229	2559
623	4246	2558
624	4259	2555
625	4267	2549
626	4277	2544
627	4290	2541
628	4296	2534
629	4307	2529
630	4315	2523
631	4324	2517
632	4331	2511
633	4340	2505
634	4354	2503
635	4359	2495
636	4374	2492
637	4387	2489
638	4394	2482
639	4403	2476
640	4408	2469
641	4417	2463
642	4423	2455
643	4428	2448
644	4433	2440
645	4438	2432
646	4444	2424
647	4449	2417
648	4456	2410
649	4461	2402
650	4467	2394
651	4472	2387
652	4477	2379
653	4483	2371
654	4488	2364
655	4499	2359
656	4505	2352
657	4512	2345
658	4519	2338
659	4525	2331
660	4531	2323
661	4537	2316
662	4544	2310
663	4550	2302
664	4558	2296
665	4564	2289
666	4569	2281
667	4574	2273
668	4579	2265
669	4585	2258
670	4590	2250
671	4595	2243
672	4600	2235
673	4606	2227
674	4611	2220
675	4616	2212
676	4625	2206
677	4631	2199
678	4637	2192
679	4642	2184
680	4647	2177
681	4652	2169
682	4658	2161
683	4663	2154
684	4668	2146
685	4673	2139
686	4678	2131
687	4683	2124
688	4689	2116
689	4694	2109
690	4699	2101
691	4705	2094
692	4710	2086
693	4716	2079
694	4722	2072
695	4728	2065
696	4734	2058
697	4740	2051
698	4747	2044
699	4752	2036
700	4758	2029
701	4763	2022
702	4770	2015
703	4776	2008
704	4783	2001
705	4788	1994
706	4797	1988
707	4802	1980
708	4807	1973
709	4813	1965
710	4818	1958
711	4823	1951
712	4828	1943
713	4833	1936
714	4839	1928
715	4844	1921
716	4849	1914
717	4855	1906
718	4860	1899
719	4865	1892
720	4870	1884
721	4876	1877
722	4881	1870
723	4886	1862
724	4891	1855
725	4896	1848
726	4903	1841
727	4911	1834
728	4917	1828
729	4923	1821
730	4929	1814
731	4935	1807
732	4942	1800
733	4948	1793
734	4954	1786
735	4959	1779
736	4964	1771
737	4969	1764
738	4975	1757
739	4980	1749
740	4985	1742
741	4990	1735
742	4995	1727
743	5000	1720
744	5006	1713
745	5011	1706
746	5016	1699
747	5021	1691
748	5029	1685
749	5035	1678
750	5042	1671
751	5047	1664
752	5052	1657
753	5057	1650
754	5062	1642
755	5068	1635
756	5074	1628
757	5079	1621
758	5085	1614
759	5090	1607
760	5095	1600
761	5101	1593
762	5106	1586
763	5113	1579
764	5118	1572
765	5125	1565
766	5131	1558
767	5139	1552
768	5146	1546
769	5155	1539
770	5168	1535
771	5178	1529
772	5192	1524
773	5206	1520
774	5212	1513
775	5226	1508
776	5238	1503
777	5244	1496
778	5256	1491
779	5262	1484
780	5276	1479
781	5289	1474
782	5301	1469
783	5308	1462
784	5321	1457
785	5330	1451
786	5337	1444
787	5343	1437
788	5350	1430
789	5356	1423
790	5367	1418
791	5374	1411
792	5386	1406
793	5397	1400
794	5406	1394
795	5418	1388
796	5430	1383
797	5435	1376
798	5446	1370
799	5452	1363
800	5462	1357
801	5468	1349
802	5478	1344
803	5483	1336
804	5492	1330
805	5497	1323
806	5503	1316
807	5508	1309
808	5514	1301
809	5521	1295
810	5529	1288
811	5536	1281
812	5543	1275
813	5549	1268
814	5555	1261
815	5561	1254
816	5567	1247
817	5573	1240
818	5579	1233
819	5587	1226
820	5592	1219
821	5597	1212
822	5606	1205
823	5612	1198
824	5620	1192
825	5627	1185
826	5635	1178
827	5644	1172
828	5654	1166
829	5666	1160
830	5677	1154
831	5690	1149
832	5696	1142
833	5707	1136
834	5715	1129
835	5724	1123
836	5735	1116
837	5741	1109
838	5749	1103
839	5757	1096
840	5771	1091
841	5779	1084
842	5790	1078
843	5803	1072
844	5819	1067
845	5824	1060
846	5835	1054
847	5841	1047
848	5852	1040
849	5860	1034
850	5868	1027
851	5875	1020
852	5885	1014
853	5894	1007
854	5901	1000
855	5917	995
856	5932	989
857	5945	984
858	5953	977
859	5963	970
860	5975	964
861	5982	957
862	5994	951
863	6001	944
864	6011	938
865	6016	930
866	6028	924
867	6036	918
868	6047	911
869	6062	905
870	6074	899
871	6079	892
872	6091	886
873	6097	879
874	6108	872
875	6115	865
876	6125	859
877	6133	852
878	6141	845
879	6154	839
880	6160	832
881	6174	826
882	6187	819
883	6195	812
884	6204	806
885	6213	799
886	6220	792
887	6232	786
888	6237	778
889	6248	772
890	6254	765
891	6264	758
892	6270	751
893	6280	744
894	6286	737
895	6297	730
896	6304	723
897	6310	716
898	6316	709
899	6322	702
900	6327	695
901	6332	688
902	6338	680
903	6343	673
904	6349	666
905	6355	659
906	6361	652
907	6367	645
908	6373	638
909	6379	630
910	6385	623
911	6391	616
912	6397	609
913	6406	602
914	6411	595
915	6416	588
916	6428	581
917	6434	574
918	6441	567
919	6446	560
920	6451	553
921	6457	546
922	6462	539
923	6467	531
924	6473	524
925	6478	517
926	6483	510
927	6488	503
928	6494	496
929	6499	489
930	6504	482
931	6510	474
932	6515	467
933	6520	460
934	6525	453
935	6531	446
936	6536	439
937	6542	432
938	6548	425
939	6554	418
940	6560	411
941	6566	404
942	6574	397
943	6581	390
944	6587	383
945	6593	376
946	6599	369
947	6605	362
948	6610	355
949	6615	348
950	6620	341
951	6626	334
952	6631	327
953	6636	319
954	6641	312
955	6647	305
956	6652	298
957	6657	291
958	6662	284
959	6668	277
960	6673	270
961	6678	263
962	6684	256
963	6689	249
964	6694	242
965	6702	235
966	6708	228
967	6713	221
968	6722	215
969	6728	208
970	6733	201
971	6739	194
972	6745	187
973	6751	180
974	6757	173
975	6763	166
976	6769	159
977	6775	152
978	6781	145
979	6787	138
980	6793	131
981	6799	124
982	6804	117
983	6809	110
984	6814	103
985	6820	96
986	6826	89
987	6833	82
988	6839	76
989	6845	69
990	6850	62
991	6856	55
992	6861	48
993	6866	41
994	6872	34
995	6877	27
996	6882	20
997	6887	13
998	6892	6
999	6897	0
